"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"50","Courtland Sutton","DEN","12","WR23","58","","51","51.8"
"63","Aaron Jones Sr.","MIN","6","RB25","59","","58","66.5"
"85","Mark Andrews","BAL","7","TE7","60","","96","89.8"
"67","Kaleb Johnson","PIT","5","RB26","61","","62","67.5"
"53","Jameson Williams","DET","8","WR25","62","","65","57.0"
"52","DeVonta Smith","PHI","9","WR24","63","","56","54.3"
"75","Travis Kelce","KC","10","TE5","64","","64","75.5"
"66","Travis Hunter","JAC","8","WR30","65","","71","67.5"
"77","Bo Nix","DEN","12","QB8","66","","75","76.3"
"73","Isiah Pacheco","KC","10","RB28","67","","67","74.3"
"71","Tony Pollard","TEN","10","RB27","68","","70","73.0"
"55","Xavier Worthy","KC","10","WR27","69","","74","59.3"
"172","Denver Broncos","DST","12","DST1","70","","172","136.0"
"62","D'Andre Swift","CHI","5","RB24","71","","46","63.8"
"176","Philadelphia Eagles","DST","9","DST2","72","","187","146.7"
"68","Chris Godwin","TB","9","WR31","73","","68","67.5"
"61","TreVeyon Henderson","NE","14","RB23","74","","53","62.0"
"64","George Pickens","DAL","10","WR29","75","","77","67.0"
"76","Quinshon Judkins","CLE","9","RB29","76","","59","75.8"
"197","Brandon Aubrey","DAL","10","K1","77","","165","121.0"
"90","Jared Goff","DET","8","QB11","78","","95","94.8"
"116","Jonnu Smith","PIT","5","TE11","79","","115","121.0"
"179","Pittsburgh Steelers","DST","5","DST3","80","","200","155.0"
"56","Tetairoa McMillan","CAR","14","WR28","81","","57","59.5"
"180","Baltimore Ravens","DST","7","DST4","82","","206","156.7"
"69","Jaylen Waddle","MIA","12","WR32","83","","79","68.8"
"83","Brian Robinson Jr.","WAS","12","RB30","84","","83","86.0"
"79","Jordan Addison","MIN","6","WR36","85","","82","77.8"
"206","Cameron Dicker","LAC","12","K2","86","","188","137.0"
"74","Chris Olave","NO","11","WR35","87","","76","74.8"
"86","Justin Fields","NYJ","9","QB10","88","","101","92.5"
"70","Calvin Ridley","TEN","10","WR33","89","","72","72.0"
"84","Kyler Murray","ARI","8","QB9","90","","87","87.0"
"103","David Njoku","CLE","9","TE9","91","","108","105.5"
"80","Rome Odunze","CHI","5","WR37","92","","89","79.8"
"87","Tyrone Tracy Jr.","NYG","14","RB31","93","","73","92.8"
"208","Jake Bates","DET","8","K3","94","","198","146.0"
"101","Najee Harris","LAC","12","RB34","95","","93","103.5"
"96","Evan Engram","DEN","12","TE8","96","","88","98.5"
"72","Jerry Jeudy","CLE","9","WR34","97","","69","73.8"
"97","Brock Purdy","SF","14","QB12","98","","105","99.0"
"185","Minnesota Vikings","DST","6","DST6","99","","211","167.3"
"89","Jaylen Warren","PIT","5","RB32","100","","84","94.3"
"109","Tucker Kraft","GB","5","TE10","101","","113","115.3"
"107","Justin Herbert","LAC","12","QB15","102","","110","108.5"
"82","Deebo Samuel Sr.","WAS","12","WR39","103","","80","83.0"
"224","Chris Boswell","PIT","5","K5","104","","233","168.5"
"94","Jayden Reed","GB","5","WR44","105","","103","96.5"
"95","Cooper Kupp","SEA","8","WR45","106","","85","97.0"
"191","Kansas City Chiefs","DST","10","DST8","107","","226","177.7"
"102","Jordan Mason","MIN","6","RB35","108","","104","104.8"
"81","Jauan Jennings","SF","14","WR38","109","","81","81.0"
"91","Stefon Diggs","NE","14","WR41","110","","100","95.8"
"183","Houston Texans","DST","6","DST5","111","","197","166.0"
"99","Travis Etienne Jr.","JAC","8","RB33","112","","91","100.0"
"100","Dak Prescott","DAL","10","QB14","113","","94","101.5"
"88","Jakobi Meyers","LV","8","WR40","114","","109","93.5"
"105","Cam Skattebo","NYG","14","RB36","115","","90","106.0"
"219","Ka'imi Fairbairn","HOU","6","K4","116","","209","162.5"
"106","Zach Charbonnet","SEA","8","RB37","117","","98","107.3"
"128","Dallas Goedert","PHI","9","TE15","118","","149","136.8"
"115","Jordan Love","GB","5","QB17","119","","130","120.0"
"98","Caleb Williams","CHI","5","QB13","120","","86","99.3"
"264","Justin Tucker","","","K12","121","","","121.0"
"92","Ricky Pearsall","SF","14","WR42","122","","102","96.3"
"93","Khalil Shakir","BUF","7","WR43","123","","99","96.5"
"204","Detroit Lions","DST","8","DST9","124","","256","195.7"
"112","Brandon Aiyuk","SF","14","WR48","125","","118","118.0"
"114","Rhamondre Stevenson","NE","14","RB40","126","","111","119.8"
"227","Wil Lutz","DEN","12","K6","127","","214","170.5"
"117","Tyler Warren","IND","11","TE12","128","","116","121.3"
"110","Javonte Williams","DAL","10","RB38","129","","92","117.5"
"113","J.K. Dobbins","DEN","12","RB39","130","","112","118.3"
"111","Drake Maye","NE","14","QB16","131","","122","117.5"
"121","C.J. Stroud","HOU","6","QB19","132","","128","124.5"
"134","Tank Bigsby","JAC","8","RB46","133","","131","141.0"
"104","Matthew Golden","GB","5","WR46","134","","97","106.0"
"236","Harrison Butker","KC","10","K7","135","","227","181.0"
"126","Dalton Kincaid","BUF","7","TE14","136","","132","133.8"
"190","Buffalo Bills","DST","7","DST7","137","","191","174.0"
"194","Shedeur Sanders","CLE","9","QB30","138","","234","217.5"
"149","Geno Smith","LV","8","QB25","139","","161","151.3"
"120","J.J. McCarthy","MIN","6","QB18","140","","123","124.3"
"151","Cameron Ward","TEN","10","QB26","141","","163","152.3"
"153","Sam Darnold","SEA","8","QB27","142","","164","157.5"
"132","Jake Ferguson","DAL","10","TE16","143","","129","140.3"
"138","Matthew Stafford","LAR","8","QB23","144","","155","144.8"
"167","DeAndre Hopkins","BAL","7","WR64","145","","158","174.8"
"108","Josh Downs","IND","11","WR47","146","","120","109.8"
"125","Colston Loveland","CHI","5","TE13","147","","107","133.3"
"130","Isaac Guerendo","SF","14","RB44","148","","125","139.8"
"127","Jaydon Blue","DAL","10","RB42","149","","117","135.3"
"135","Michael Penix Jr.","ATL","5","QB21","150","","148","141.8"
"159","Aaron Rodgers","PIT","5","QB28","151","","167","166.8"
"254","Evan McPherson","CIN","10","K10","152","","267","209.5"
"131","Bhayshul Tuten","JAC","8","RB45","153","","127","139.8"
"129","Rachaad White","TB","9","RB43","154","","119","137.8"
"173","Anthony Richardson Sr.","IND","11","QB29","155","","183","182.3"
"245","Brandon McManus","GB","5","K9","156","","237","196.5"
"160","Nick Chubb","HOU","6","RB53","157","","140","167.3"
"123","Tyjae Spears","TEN","10","RB41","158","","106","127.5"
"240","Chase McLaughlin","TB","9","K8","159","","215","187.0"
"124","Keon Coleman","BUF","7","WR52","160","","136","130.3"
"118","Emeka Egbuka","TB","9","WR49","161","","126","121.8"
"175","Kareem Hunt","KC","10","RB57","162","","171","187.8"
"137","Tua Tagovailoa","MIA","12","QB22","163","","138","143.3"
"146","Bryce Young","CAR","14","QB24","164","","153","150.0"
"154","Jaylen Wright","MIA","12","RB50","165","","151","158.8"
"143","Austin Ekeler","WAS","12","RB49","166","","124","148.8"
"181","Darren Waller","MIA","12","TE25","167","","201","198.5"
"157","Adam Thielen","CAR","14","WR61","168","","179","165.0"
"170","Mike Gesicki","CIN","10","TE22","169","","185","174.8"
"169","Cade Otton","TB","9","TE21","170","","166","174.8"
